to  0.0094764198783
 di 0.00824036511156
la  0.00694092292089
di  0.00675076064909
 co 0.00662398580122
 de 0.00640212981744
no  0.00599011156187
re  0.00554639959432
con 0.00548301217039
che 0.00513438133874
le  0.00507099391481
o d 0.004880831643
a d 0.00475405679513
 un 0.00475405679513
del 0.00456389452333
ell 0.00450050709939
he  0.00446881338742
ni  0.00437373225152
e d 0.00437373225152
 ch 0.00431034482759
 in 0.00424695740365
te  0.00421526369168
ent 0.00415187626775
on  0.00399340770791
ne  0.00383493914807
ti  0.00367647058824
ta  0.00367647058824
per 0.00367647058824
na  0.00364477687627
lla 0.0036130831643
ato 0.00348630831643
 al 0.00348630831643
il  0.00342292089249
 pe 0.00342292089249
 pr 0.00339122718053
 il 0.00339122718053
 e  0.00326445233266
ion 0.00323275862069
e c 0.00316937119675
e a 0.00316937119675
 la 0.00313767748479
si  0.00310598377282
ra  0.00307429006085
e s 0.00307429006085
o a 0.00304259634888
ro  0.00297920892495
o c 0.00288412778905
er  0.00288412778905
i d 0.00285243407708
a c 0.00285243407708
i c 0.00282074036511
are 0.00282074036511
Ã¨  0.00275735294118
 no 0.00272565922921
sta 0.00266227180527
a p 0.00266227180527
a s 0.00263057809331
li  0.00259888438134
 Ã¨ 0.00259888438134
 si 0.00259888438134
i s 0.00256719066937
el  0.00256719066937
all 0.00256719066937
o i 0.0025354969574
one 0.00250380324544
i a 0.00250380324544
ia  0.00247210953347
e p 0.00247210953347
e i 0.00247210953347
oni 0.0024404158215
nte 0.0024404158215
un  0.00240872210953
zio 0.00237702839757
 qu 0.00237702839757
 le 0.00237702839757
e l 0.00231364097363
 po 0.00231364097363
ett 0.00228194726166
 a  0.00228194726166
o p 0.0022502535497
tto 0.00221855983773
in  0.00221855983773
non 0.00218686612576
lo  0.00218686612576
ist 0.00215517241379
 ri 0.00215517241379
 ma 0.00215517241379
ver 0.00212347870183
i p 0.00212347870183
 da 0.00209178498986
ost 0.00206009127789
ma  0.00206009127789
tra 0.00199670385396
est 0.00199670385396
 so 0.00199670385396
 fa 0.00199670385396
ali 0.00196501014199
a l 0.00196501014199
 se 0.00196501014199
mo  0.00190162271805
io  0.00190162271805
Â»  0.00186992900609
 ne 0.00186992900609
una 0.00183823529412
ale 0.00183823529412
gli 0.00180654158215
 Â« 0.00180654158215
tor 0.00177484787018
pre 0.00177484787018
ora 0.00177484787018
ati 0.00177484787018
and 0.00177484787018
 an 0.00177484787018
ono 0.00174315415822
a i 0.00174315415822
 ha 0.00174315415822
tat 0.00171146044625
res 0.00171146044625
o s 0.00171146044625
lle 0.00171146044625
co  0.00171146044625
ant 0.00171146044625
ann 0.00171146044625
 su 0.00171146044625
 pa 0.00171146044625
Ã   0.00167976673428
pro 0.00167976673428
ita 0.00167976673428
ica 0.00167976673428
ere 0.00167976673428
 vi 0.00167976673428
sco 0.00164807302231
ri  0.00164807302231
ran 0.00164807302231
o l 0.00164807302231
ini 0.00164807302231
tro 0.00161637931034
men 0.00161637931034
era 0.00161637931034
str 0.00155299188641
ont 0.00155299188641
nti 0.00155299188641
ndo 0.00155299188641
a n 0.00155299188641
ano 0.00148960446247
a a 0.00148960446247
que 0.00145791075051
nta 0.00145791075051
i m 0.00145791075051
do  0.00145791075051
chi 0.00145791075051
ll  0.00142621703854
gio 0.00142621703854
al  0.00142621703854
 st 0.00142621703854
ntr 0.00139452332657
e n 0.00139452332657
cor 0.00139452332657
com 0.00139452332657
za  0.0013628296146
ito 0.0013628296146
ico 0.0013628296146
i i 0.0013628296146
i e 0.0013628296146
ess 0.0013628296146
att 0.0013628296146
acc 0.0013628296146
ter 0.00133113590264
sto 0.00133113590264
rat 0.00133113590264
o n 0.00133113590264
nel 0.00133113590264
azi 0.00133113590264
va  0.00129944219067
se  0.00129944219067
ggi 0.00129944219067
 ra 0.00129944219067
 l  0.00129944219067
 do 0.00129944219067
par 0.0012677484787
nto 0.0012677484787
e e 0.0012677484787
ari 0.0012677484787
a e 0.0012677484787
 te 0.0012677484787
tit 0.00123605476673
ste 0.00123605476673
ssi 0.00123605476673
ori 0.00123605476673
nno 0.00123605476673
ha  0.00123605476673
ern 0.00123605476673
usc 0.00120436105477
tan 0.00120436105477
olo 0.00120436105477
me  0.00120436105477
lia 0.00120436105477
e u 0.00120436105477
ca  0.00120436105477
a m 0.00120436105477
 re 0.00120436105477
tÃ  0.0011726673428
sti 0.0011726673428
ove 0.0011726673428
n c 0.0011726673428
i v 0.0011726673428
eri 0.0011726673428
ebb 0.0011726673428
bil 0.0011726673428
bbe 0.0011726673428
 mo 0.0011726673428
tta 0.00114097363083
tal 0.00114097363083
reb 0.00114097363083
lit 0.00114097363083
ibi 0.00114097363083
ian 0.00114097363083
ei  0.00114097363083
anc 0.00114097363083
ame 0.00114097363083
 mi 0.00114097363083
 fo 0.00114097363083
 av 0.00114097363083
tti 0.00110927991886
tic 0.00110927991886
ce  0.00110927991886
amo 0.00110927991886
a r 0.00110927991886
 ca 0.00110927991886
sa  0.0010775862069
rti 0.0010775862069
lus 0.0010775862069
l c 0.0010775862069
iti 0.0010775862069
ili 0.0010775862069
iam 0.0010775862069
i f 0.0010775862069
e f 0.0010775862069
a f 0.0010775862069
 pi 0.0010775862069
nza 0.00104589249493
itÃ 0.00104589249493
der 0.00104589249493
da  0.00104589249493
 sc 0.00104589249493
utt 0.00101419878296
rno 0.00101419878296
qua 0.00101419878296
pos 0.00101419878296
po  0.00101419878296
e r 0.00101419878296
 i  0.00101419878296
 Ca 0.00101419878296
sci 0.000982505070994
pol 0.000982505070994
ome 0.000982505070994
l p 0.000982505070994
i n 0.000982505070994
i l 0.000982505070994
ers 0.000982505070994
erl 0.000982505070994
dal 0.000982505070994
cia 0.000982505070994
art 0.000982505070994
 ve 0.000982505070994
 sa 0.000982505070994
 ci 0.000982505070994
 ce 0.000982505070994
ue  0.000950811359026
ris 0.000950811359026
olt 0.000950811359026
o e 0.000950811359026
ina 0.000950811359026
ide 0.000950811359026
iat 0.000950811359026
for 0.000950811359026
esi 0.000950811359026
ata 0.000950811359026
a u 0.000950811359026
 gi 0.000950811359026
 Be 0.000950811359026
ui  0.000919117647059
son 0.000919117647059
so  0.000919117647059
oli 0.000919117647059
oi  0.000919117647059
o u 0.000919117647059
ino 0.000919117647059
i u 0.000919117647059
cos 0.000919117647059
ani 0.000919117647059
Ber 0.000919117647059
rlu 0.000887423935091
rch 0.000887423935091
ond 0.000887423935091
ero 0.000887423935091
end 0.000887423935091
ci  0.000887423935091
be  0.000887423935091
 lo 0.000887423935091
tar 0.000855730223124
rag 0.000855730223124
n a 0.000855730223124
man 0.000855730223124
l a 0.000855730223124
izi 0.000855730223124
ici 0.000855730223124
gov 0.000855730223124
bia 0.000855730223124
anz 0.000855730223124
abi 0.000855730223124
 go 0.000855730223124
 Ma 0.000855730223124
sul 0.000824036511156
r l 0.000824036511156
ort 0.000824036511156
ore 0.000824036511156
nat 0.000824036511156
n s 0.000824036511156
ior 0.000824036511156
ile 0.000824036511156
i t 0.000824036511156
den 0.000824036511156
azz 0.000824036511156
a v 0.000824036511156
 du 0.000824036511156
ze  0.000792342799189
van 0.000792342799189
ues 0.000792342799189
sol 0.000792342799189
rim 0.000792342799189
ona 0.000792342799189
nde 0.000792342799189
nco 0.000792342799189
min 0.000792342799189
llo 0.000792342799189
leg 0.000792342799189
i r 0.000792342799189
hi  0.000792342799189
gra 0.000792342799189
far 0.000792342799189
erc 0.000792342799189
enz 0.000792342799189
ass 0.000792342799189
afi 0.000792342799189
Il  0.000792342799189
 vo 0.000792342799189
 tr 0.000792342799189
 cu 0.000792342799189
tre 0.000760649087221
o f 0.000760649087221
ire 0.000760649087221
fi  0.000760649087221
ese 0.000760649087221
ert 0.000760649087221
ele 0.000760649087221
e t 0.000760649087221
 es 0.000760649087221
zza 0.000728955375254
ual 0.000728955375254
tut 0.000728955375254
ric 0.000728955375254
ola 0.000728955375254
nis 0.000728955375254
nda 0.000728955375254
n p 0.000728955375254
l g 0.000728955375254
ima 0.000728955375254
ene 0.000728955375254
ega 0.000728955375254
due 0.000728955375254
daf 0.000728955375254
col 0.000728955375254
cen 0.000728955375254
cco 0.000728955375254
ava 0.000728955375254
ate 0.000728955375254
 li 0.000728955375254
Ã©  0.000697261663286
ven 0.000697261663286
tiv 0.000697261663286
ten 0.000697261663286
sin 0.000697261663286
sen 0.000697261663286
sar 0.000697261663286
rma 0.000697261663286
rit 0.000697261663286
pri 0.000697261663286
orn 0.000697261663286
orm 0.000697261663286
mi  0.000697261663286
ltr 0.000697261663286
lor 0.000697261663286
imo 0.000697261663286
i h 0.000697261663286
hed 0.000697261663286
edd 0.000697261663286
e m 0.000697261663286
e h 0.000697261663286
dei 0.000697261663286
dda 0.000697261663286
cer 0.000697261663286
arc 0.000697261663286
agg 0.000697261663286
aga 0.000697261663286
Ghe 0.000697261663286
 me 0.000697261663286
 is 0.000697261663286
 Gh 0.000697261663286
vo  0.000665567951318
ura 0.000665567951318
spo 0.000665567951318
sce 0.000665567951318
rop 0.000665567951318
rna 0.000665567951318
rio 0.000665567951318
nal 0.000665567951318
mer 0.000665567951318
let 0.000665567951318
l P 0.000665567951318
ea  0.000665567951318
e v 0.000665567951318
dis 0.000665567951318
Ã¹  0.000633874239351
uto 0.000633874239351
tte 0.000633874239351
sse 0.000633874239351
sat 0.000633874239351
ova 0.000633874239351
oss 0.000633874239351
o t 0.000633874239351
nne 0.000633874239351
ndi 0.000633874239351
lib 0.000633874239351
l s 0.000633874239351
ie  0.000633874239351
i Ã 0.000633874239351
eva 0.000633874239351
egg 0.000633874239351
de  0.000633874239351
asc 0.000633874239351
ami 0.000633874239351
alt 0.000633874239351
a t 0.000633874239351
 tu 0.000633874239351
 ag 0.000633874239351
 Pa 0.000633874239351
vol 0.000602180527383
uel 0.000602180527383
tri 0.000602180527383
ser 0.000602180527383
ron 0.000602180527383
pon 0.000602180527383
osi 0.000602180527383
mar 0.000602180527383
lli 0.000602180527383
l r 0.000602180527383
l m 0.000602180527383
iÃ¹ 0.000602180527383
itt 0.000602180527383
ier 0.000602180527383
ede 0.000602180527383
dic 0.000602180527383
cui 0.000602180527383
cit 0.000602180527383
cci 0.000602180527383
ai  0.000602180527383
 sp 0.000602180527383
