token	frequency	length
meštrom	1	7
piæan	1	5
znamenite	2	9
manzonijeve	3	11
snime	1	5
iis	1	3
zasladi	1	7
profiliranu	1	11
osmjehnu	2	8
braku	10	5
orane	1	5
upustiti	1	8
sta	17	3
razbježa	2	8
zabrinula	1	9
raèunaju	1	8
najzubatija	1	11
preljubnik	1	10
druži	7	5
crkvenjaètvo	2	12
pobjedom	1	8
hambare	2	7
uhiæenik	1	8
prešao	2	6
perdendone	1	10
dubotinu	1	8
razgledaše	2	10
osvanuo	3	7
gdjekoja	1	8
planike	1	7
trp	2	3
klarisami	1	9
ostarili	1	8
narešan	1	7
navrele	1	7
otimati	6	7
zelenoj	12	7
duhoslovja	1	10
dozvolila	1	9
uredjen	1	7
zaklinjala	6	10
sjeæati	3	7
starosjediocem	1	14
brzu	4	4
hume	1	4
tvojega	11	7
puštenicom	1	10
zabludjeti	2	10
istini	11	6
sušice	1	6
helijeva	1	8
primorati	1	9
pal	1	3
ciganska	1	8
lažisvetac	1	10
hramove	3	7
akcije	1	6
pienje	3	6
uvukli	1	6
plakavice	1	9
sjeme	27	5
podboèila	1	9
veæim	9	5
stražarni	1	9
briš	1	4
svitovni	5	8
utaknute	1	8
lieka	9	5
njihov	28	6
dobroèinitelja	1	14
otèevinu	6	8
ravnoj	1	6
uznijeti	2	8
zlato	37	5
prestrašene	3	11
loboru	1	6
tvojeg	1	6
šæeæahu	1	7
ozbiljnijemu	1	12
slušam	2	6
crljeni	2	7
ugrabila	1	8
nesgodi	1	7
gojan	1	5
svladavati	1	10
lampina	1	7
oblièje	5	7
probudiv	2	8
graditeljnieh	1	13
vlastitim	2	9
liznuti	1	7
otezati	2	7
odgovor	17	7
korjena	1	7
svanula	1	7
tužnog	1	6
sgotoviti	1	9
uzmogne	4	7
eterskime	1	9
rad	74	3
lepršao	1	7
grimiznu	1	8
dosjetila	4	9
izvrnuti	1	8
svaljivala	1	10
miserere	2	8
skut	5	4
prijeæi	1	7
varstu	1	6
barjaktar	2	9
trajat	1	6
ivanom	5	6
razgonio	1	8
repatica	1	8
vršiti	2	6
sablastne	1	9
sermiju	1	7
prikaže	7	7
omrkne	1	6
sieku	1	5
prekrajali	1	10
pravit	2	6
stabljike	1	9
perun	1	5
bugarska	1	8
srbije	1	6
povrate	1	7
mah	36	3
djevièanskog	1	12
filozofski	9	10
sastajalište	1	12
milost	76	6
pozdravljate	3	12
taržancah	3	9
pavla	3	5
izražaj	2	7
osinjaku	1	8
gustaru	1	7
srdite	1	6
gazdarica	1	9
nobilis	3	7
grabežljivosti	1	14
ponošenu	1	8
razpresti	1	9
priduše	2	7
æurèijskim	1	10
nasrnuti	1	8
prirodu	11	7
jalov	1	5
prekrilio	1	9
svibanjskom	1	11
oholu	2	5
vojakom	1	7
uglednoga	1	9
sanjareæi	1	9
pregorio	5	8
poslušajte	1	10
vruljicu	4	8
iskrena	1	7
žerava	3	6
zamnieva	1	8
krpao	1	5
pohadjali	2	9
obasule	1	7
smiono	2	6
vinu	13	4
gonjena	1	7
razsipo	1	7
sbora	1	5
gustim	1	6
turskim	5	7
èovjekom	7	8
romantièan	1	10
slišil	7	6
saslušavati	1	11
velièajan	1	9
gaju	8	4
grabimo	1	7
rodoljub	1	8
otkriju	1	7
